rowID,accepted_bin,family,spp,where,LAT,LON,nFix,dispersal,Fruit type,Selection,Bark thickness,Conduit diameter,Crown diameter,Crown height,Leaf area,Leaf density,Leaf K,Leaf N,Leaf P,Leaf thickness,Leaf Vcmax,Root depth,Seed dry mass,Specific leaf area,Stem diameter,Stomatal conductance,Tree height,Wood density
1,Acacia mangium,Leguminosae,ACAMAN,Santa Cecilia,8.754427,-82.982898,N-fixer,Animal (non-fleshy fruit),Animal (non-fleshy fruit),No,-0.3755,0.7042,1.1308,1.0614,0.8715,-0.3199,-0.5539,1.1147,0.1189,-1.2945,0.2283,-0.4995,0.7084,0.4265,-0.5368,1.3081,-0.4812,0.3336
2,Albizia guachapele,Leguminosae,ALBGUA,Santa Cecilia,8.754427,-82.982898,N-fixer,Animal (non-fleshy fruit),Animal (non-fleshy fruit),,-0.2639,0.7897,1.1308,1.0614,0.7863,-0.5305,-0.335,1.4831,0.2755,-1.2559,0.0741,0.5771,0.8843,0.3782,-0.2244,0.9855,-0.4812,-0.0651
3,Albizia saman,Leguminosae,ALBSAM,Santa Cecilia,8.754427,-82.982898,N-fixer,Animal (non-fleshy fruit),Animal (non-fleshy fruit),,-0.3072,0.7641,1.1308,1.0614,0.916,-0.3816,-0.4344,1.2066,0.2522,-1.2393,0.1288,0.5018,0.847,0.479,-0.2446,1.2868,-0.3449,0.1606
4,Albizia saman,Leguminosae,ALBSAM,Finca Aguas Buenas,9.023306,-83.483773,N-fixer,Animal (non-fleshy fruit),Animal (non-fleshy fruit),,-1.5703,1.1784,1.02,-0.2648,-0.9222,2.2337,-0.3204,1.2645,-0.1903,-1.8956,-0.0213,1.0704,1.1102,0.8137,-1.7779,-0.5858,-1.1949,0.6212
5,Alchornea latifolia,Euphorbiaceae,ALCLAT,Santa Cecilia,8.754427,-82.982898,Non-fixer,Animal (non-fleshy fruit),Animal (non-fleshy fruit),,-0.0878,-0.863,0.2125,0.1699,-0.528,-0.3231,-0.4872,-0.6372,-0.4445,0.1596,0.1636,-0.787,-2.0081,-0.4431,0.9623,0.6302,0.4958,0.1761
7,Apeiba tibourbou,Malvaceae,APETIB,Finca Aguas Buenas,9.023306,-83.483773,Non-fixer,Other,Other,,1.0661,0.6401,-0.9761,-1.6397,-0.2648,0.5098,0.7194,-0.3539,0.9101,-0.1708,0.5975,0.7954,0.5923,1.0429,-0.3017,-1.0935,-1.5356,-2.2515
8,Astronium graveolens,Anacardiaceae,ASTGRA,Santa Cecilia,8.754427,-82.982898,Non-fixer,Other,Wind,,-0.4552,-0.967,0.1487,-0.4107,1.3246,0.0789,-0.5985,-0.7776,-0.3436,-0.1591,-0.8493,0.7893,0.4233,-0.4688,0.6448,-0.0248,0.4958,0.9642
9,Beilschmiedia tovarensis,Lauraceae,BEITOV,Santa Cecilia,8.754427,-82.982898,Non-fixer,Animal (fleshy fruit),Fleshy fruit,,2.0248,-2.0921,-1.3566,0.7691,-1.0319,-0.0036,-1.214,-1.4634,-1.5019,1.7437,-2.035,-0.2095,-0.2318,-2.1609,1.3516,-0.9922,0.4958,0.4685
10,Caesalpinia pulcherrima,Leguminosae,CAEPUL,Santa Cecilia,8.754427,-82.982898,N-fixer,Animal (non-fleshy fruit),Animal (non-fleshy fruit),,-0.1259,0.9906,1.1346,1.0614,1.0986,-0.4406,0.0071,1.0144,0.5711,-1.3,0.6321,-1.0938,0.4059,0.9721,-0.2446,1.5995,-0.4475,0.0209
11,Calophyllum brasiliense,Clusiaceae,CALBRA,Santa Cecilia,8.754427,-82.982898,Non-fixer,Animal (fleshy fruit),Fleshy fruit,,0.4129,-0.6123,1.128,1.8169,-0.5053,-0.3293,-1.9247,-1.6066,-1.7807,1.2425,-0.6167,-0.1667,-0.6359,-2.4734,0.7446,-0.1991,1.2522,1.1587
12,Cecropia obtusifolia,Urticaceae,CECOBT,Finca Aguas Buenas,9.023306,-83.483773,Non-fixer,Animal (fleshy fruit),Fleshy fruit,,0.9168,0.9552,-0.7259,0.1699,0.0308,1.2711,-0.1623,-0.2434,0.808,0.5012,1.6915,-0.4995,-1.3044,0.4181,-0.0475,0.7347,1.1521,-1.4161
13,Cecropia peltata,Urticaceae,CECPEL,Santa Cecilia,8.754427,-82.982898,Non-fixer,Animal (fleshy fruit),Fleshy fruit,,0.3552,0.6059,0.8736,1.0293,1.234,-0.06,-0.5737,0.0271,0.6331,0.3102,1.7855,-0.4714,-2.2396,0.3103,1.1749,1.3267,1.7249,-1.5611
14,Cedrela odorata,Meliaceae,CEDODO,Santa Cecilia,8.754427,-82.982898,Non-fixer,Other,Wind,,-0.9933,-0.6672,-0.7573,-0.3677,1.3099,-0.9787,0.1591,0.0783,0.7842,-0.3584,-0.1834,1.0704,-0.1152,0.3285,0.3991,-0.0999,0.4958,0.3061
15,Cedrela tonduzii,Meliaceae,CEDTON,Santa Cecilia,8.754427,-82.982898,Non-fixer,Other,Wind,,-1.0728,-0.6657,-0.7573,-0.3677,1.3056,-0.966,0.1864,0.0813,0.6832,-0.3446,-0.2088,1.0704,-0.1433,0.3318,0.3991,-0.0999,0.4958,0.3114
16,Ceiba pentandra,Malvaceae,CEIPEN,Santa Cecilia,8.754427,-82.982898,Non-fixer,Other,Wind,,2.5595,0.4347,1.128,1.3374,1.1205,-0.875,0.4095,0.2289,1.0979,-0.563,1.2112,-0.4995,0.5726,0.6445,1.2585,0.6879,1.6565,-1.7669
