where,LAT,LON,raw_name,Genus,species,spp,nFix,dispersal,Fruit type,Wood density,Root depth,Root/shoot ratio,Leaf N per mass,Leaf P per mass,Stem diameter,Bark thickness,Seed dry mass,"Leaf resp. rate, per mass",Leaf K per mass,Stomatal conductance,Leaf thickness,Leaf density,Leaf N:P,Root N per mass,Leaf length,Leaf width,Leaf C/N,Leaf Vcmax per dry mass,Leaf Jmax per dry mass,Stem conduit diameter,Crown diameter,Leaf chlorophyll,Crown height,Root C/N,Wood N per mass,Tree height,Leaf area,Specific leaf area,Leaf water per mass
LG,8.700634,-83.203632,Anacardium excelsum,Anacardium,excelsum,Anaexc,non-fixer,animal,Animal,-0.751815,1.761248,-0.782269,2.907743,-0.032219,-1.046197,1.416064,4.096717,-4.40993,2.194174,5.231954,-1.678054,-0.889005,2.921855,2.268323,4.455533,1.324615,3.216547,-0.927498,-0.087368,3.716177,2.3816,-0.904449,2.24071,3.900113,1.452029,3.401197,9.060095,2.660825,0.384713
LG,8.700634,-83.203632,Apeiba tibourbou,Apeiba,tibourbou,Apetib,non-fixer,animal,Animal,-1.138269,1.648659,-0.816505,3.065871,0.186297,-0.693858,1.53265,3.053217,-4.057456,2.157466,5.158363,-1.567883,-1.246905,3.027732,2.326963,4.47323,1.542402,3.07459,-0.820208,-0.181106,3.702751,2.646175,-0.889826,2.450143,3.921025,1.483738,3.388331,8.878384,2.743944,0.622669
LG,8.700634,-83.203632,Aspidosperma myristicifolium,Aspidosperma,myristicifolium,Aspmyr,non-fixer,other,Wind,-0.617807,1.609438,-0.777853,2.880303,-0.279906,-1.142564,1.178027,2.883803,-4.415661,2.236393,5.175865,-1.336459,-1.199057,3.042351,2.151598,4.459028,1.400976,3.271478,-0.904458,-0.0197,3.64944,2.362877,-0.8592,2.208274,3.892152,1.708583,2.890372,8.462692,2.465353,0.609772
LG,8.700634,-83.203632,Aspidosperma spruceanum,Aspidosperma,spruceanum,Aspspr,non-fixer,other,Wind,-0.602347,1.609438,-0.790089,2.871327,-0.282633,-1.135076,1.143258,3.098387,-4.423043,2.21576,5.160111,-1.345799,-1.189719,3.055402,2.13737,4.467878,1.402922,3.2783,-0.905375,-0.020223,3.664162,2.349005,-0.853145,2.286456,3.897481,1.681035,2.890372,8.385756,2.402467,0.583551
LG,8.700634,-83.203632,Astronium graveolens,Astronium,graveolens,Astgra,non-fixer,other,Wind,-0.57993,1.793347,-0.822755,2.938418,0.049371,-1.153296,1.309821,4.075428,-4.219124,2.192605,5.248722,-1.723565,-0.935422,3.016195,2.279721,4.466868,1.35886,3.085278,-0.861257,-0.078329,3.666478,2.3816,-0.858726,2.272126,3.910931,1.640267,3.058159,9.304143,2.625174,0.395914
LG,8.700634,-83.203632,Brosimum alicastrum,Brosimum,alicastrum,Broali,non-fixer,animal_fleshy,Fleshy fruit,-0.55598,1.757858,-1.061058,2.956537,0.020716,-0.681814,1.433095,3.647791,-4.264856,2.067072,5.293459,-1.574175,-1.159013,2.995181,2.050086,4.637102,1.482915,3.04376,-0.718976,-0.165516,3.731291,2.39835,-0.881927,2.580217,3.954269,1.574344,3.621757,8.735751,2.591417,0.515104
LG,8.700634,-83.203632,Brosimum utile,Brosimum,utile,Brouti,non-fixer,animal_fleshy,Fleshy fruit,-0.572425,1.757858,-1.04554,2.941649,-0.09556,-0.576394,1.468195,3.493407,-4.279005,2.088147,5.328464,-1.528729,-1.123159,2.950444,2.046723,4.621627,1.49173,3.141833,-0.743352,-0.190285,3.724106,2.333114,-0.880673,2.444071,3.955048,1.553094,3.555348,8.825957,2.546734,0.516853
LG,8.700634,-83.203632,Buchenavia costaricensis,Buchenavia,costaricensis,Buccos,non-fixer,animal_fleshy,Fleshy fruit,-0.521759,1.609438,-0.791426,2.871422,-0.254572,-0.993982,1.311576,2.626429,-4.269249,2.095572,5.341773,-1.538727,-1.217871,2.950748,2.15143,4.471424,1.458661,3.223573,-0.812307,-0.092176,3.638076,2.336414,-0.911927,2.209367,3.917049,1.452333,3.124439,8.097371,2.51191,0.619052
LG,8.700634,-83.203632,Byrsonima crassifolia,Byrsonima,crassifolia,Byrcra,non-fixer,animal_fleshy,Fleshy fruit,-0.530023,1.609438,-0.900307,2.875759,-0.263922,-1.164113,1.120252,2.463078,-4.424653,1.943733,5.157414,-1.528516,-1.132752,3.032753,2.219618,4.486257,1.494207,3.257434,-0.971047,-0.243083,3.637074,2.336414,-0.818421,2.36556,3.862059,1.407031,3.088995,8.348911,2.557706,0.559444
LG,8.700634,-83.203632,Calatola costaricensis,Calatola,costaricensis,Calcos,non-fixer,animal,Animal,-0.734677,1.609438,-0.744133,2.884511,-0.279827,-1.251414,1.160682,2.829565,-4.571438,2.412509,5.224695,-1.429132,-1.207476,3.031244,2.177329,4.447157,1.478518,3.236499,-0.990379,-0.088518,3.653465,2.196613,-0.893061,2.296679,3.858624,1.545073,2.74084,8.51032,2.529201,0.695969
LG,8.700634,-83.203632,Calophyllum brasiliense,Calophyllum,brasiliense,Calbra,non-fixer,animal_fleshy,Fleshy fruit,-0.383439,1.791759,-0.914959,2.703077,-0.496194,-0.953175,1.344079,3.586187,-4.691004,1.797497,5.187211,-1.341201,-1.062466,2.982361,2.260724,4.402975,1.418324,3.488614,-1.080724,-0.319272,3.625925,2.389621,-0.81464,2.433613,3.854181,1.218972,3.332308,8.286193,2.216754,0.446258
LG,8.700634,-83.203632,Calophyllum longifolium,Calophyllum,longifolium,Callon,non-fixer,animal_fleshy,Fleshy fruit,-0.379735,1.757858,-0.913783,2.691726,-0.497088,-0.956666,1.3462,3.590919,-4.709317,1.787381,5.188367,-1.323353,-1.036523,2.982028,2.261371,4.398269,1.419243,3.505244,-1.088699,-0.333207,3.622931,2.389621,-0.814707,2.433613,3.856308,1.218166,3.357677,8.297002,2.185482,0.435446
LG,8.700634,-83.203632,Carapa guianensis,Carapa,guianensis,Cargui,non-fixer,other,Other,-0.64468,1.662969,-0.766934,2.992485,-0.033631,-1.02341,1.326744,3.816413,-4.253401,2.237382,5.325933,-1.551695,-1.10593,2.913107,2.283048,4.507968,1.451723,3.209926,-0.864379,-0.248934,3.724677,2.349005,-0.878243,2.352549,3.920791,1.421307,3.095578,9.353615,2.652781,0.508358
LG,8.700634,-83.203632,Caryocar costaricense,Caryocar,costaricense,Carcos,non-fixer,animal,Animal,-0.455324,1.648659,-0.893196,2.888082,-0.277666,-1.016111,1.327409,2.814248,-4.471267,1.97488,5.207213,-1.477128,-1.047968,2.979095,2.186798,4.507028,1.447821,3.324779,-0.918102,-0.23907,3.637158,2.463428,-0.816847,2.501436,3.850046,1.58379,3.428162,8.278308,2.50137,0.448356
LG,8.700634,-83.203632,Cedrela odorata,Cedrela,odorata,Cedodo,non-fixer,other,Wind,-0.64939,1.865259,-0.762123,3.077265,0.225005,-0.989095,1.272422,3.746158,-4.149178,2.254022,5.304096,-1.593613,-1.121845,2.951659,2.286309,4.528866,1.473433,2.989802,-0.823452,-0.169164,3.749616,2.381087,-0.879699,2.36556,3.927134,1.456343,3.031091,9.377273,2.713073,0.556844
LG,8.700634,-83.203632,Ceiba pentandra,Ceiba,pentandra,Ceipen,non-fixer,other,Wind,-1.080431,1.648659,-0.900009,3.135002,0.257053,-0.740029,1.727789,3.494861,-4.07213,2.212308,5.255101,-1.504554,-1.09456,2.880502,2.330539,4.480894,1.557146,3.039722,-0.757578,-0.142723,3.759222,2.646175,-0.859553,2.639057,3.92215,1.524274,3.468099,9.168519,2.657097,0.649298
